"","X..feature","class","assembly","assembly_unit","seq_type","chromosome","genomic_accession","start","end","strand","product_accession","non.redundant_refseq","related_accession","name","symbol","GeneID","locus_tag","feature_interval_length","product_length","attributes","COG"
"5433","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3021866,3022141,"-","","",NA,"","",9734260,"DDA3937_RS13235",276,NA,"Dda3937_00025","none"
"5434","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3021866,3022141,"-","WP_013318461.1","WP_013318461.1",NA,"hypothetical protein","",9734260,"DDA3937_RS13235",276,91,"","none"
"5435","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3022756,3022941,"+","","",NA,"","",9734264,"DDA3937_RS13240",186,NA,"Dda3937_00023","none"
"5436","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3022756,3022941,"+","WP_013318465.1","WP_013318465.1",NA,"GhoT/OrtT family toxin","",9734264,"DDA3937_RS13240",186,61,"","none"
"5437","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3023087,3023551,"-","","",NA,"","matP",9734265,"DDA3937_RS13245",465,NA,"Dda3937_00022","replication, recombination, and repair"
"5438","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3023087,3023551,"-","WP_013318466.1","WP_013318466.1",NA,"macrodomain Ter protein MatP","matP",9734265,"DDA3937_RS13245",465,154,"","none"
"5439","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3023762,3025492,"+","","",NA,"","",9734266,"DDA3937_RS13250",1731,NA,"Dda3937_03409","postranslational modification, protein turnover, chaperones"
"5440","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3023762,3025492,"+","WP_013318467.1","WP_013318467.1",NA,"Lon protease family protein","",9734266,"DDA3937_RS13250",1731,576,"","none"
"5441","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3025583,3026101,"+","","",NA,"","fabA",9734267,"DDA3937_RS13255",519,NA,"Dda3937_03410","lipid transport and metabolism"
"5442","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3025583,3026101,"+","WP_013318468.1","WP_013318468.1",NA,"bifunctional 3-hydroxydecanoyl-ACP dehydratase/trans-2-decenoyl-ACP isomerase","fabA",9734267,"DDA3937_RS13255",519,172,"","none"
"5443","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3026301,3027968,"-","","",NA,"","betA",9734268,"DDA3937_RS13260",1668,NA,"Dda3937_03411","lipid transport and metabolism"
"5444","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3026301,3027968,"-","WP_013318469.1","WP_013318469.1",NA,"choline dehydrogenase","betA",9734268,"DDA3937_RS13260",1668,555,"","none"
"5445","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3027986,3029458,"-","","",NA,"","betB",9734269,"DDA3937_RS13265",1473,NA,"Dda3937_03412","energy production and conversions"
"5446","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3027986,3029458,"-","WP_013318470.1","WP_013318470.1",NA,"betaine-aldehyde dehydrogenase","betB",9734269,"DDA3937_RS13265",1473,490,"","none"
"5447","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3029461,3030075,"-","","",NA,"","betI",9734270,"DDA3937_RS13270",615,NA,"Dda3937_03413","transcription"
"5448","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3029461,3030075,"-","WP_013318471.1","WP_013318471.1",NA,"transcriptional regulator BetI","betI",9734270,"DDA3937_RS13270",615,204,"","none"
"5449","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3030360,3030998,"+","","",NA,"","",9734271,"DDA3937_RS13275",639,NA,"Dda3937_03414","carbohydrate transport and metabolism"
"5450","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3030360,3030998,"+","WP_013318472.1","WP_013318472.1",NA,"RpiB/LacA/LacB family sugar-phosphate isomerase","",9734271,"DDA3937_RS13275",639,212,"","none"
"5451","gene","tRNA","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3031182,3031271,"+","","",NA,"","",9734272,"DDA3937_RS13280",90,NA,"Dda3937_04274","none"
"5452","tRNA","","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3031182,3031271,"+","","",NA,"tRNA-Ser","",9734272,"DDA3937_RS13280",90,NA,"GGA","none"
"5453","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3031712,3033316,"+","","",NA,"","",9734273,"DDA3937_RS13285",1605,NA,"Dda3937_03415","signal transduction mechanisms"
"5454","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3031712,3033316,"+","WP_013318473.1","WP_013318473.1",NA,"MCP four helix bundle domain-containing protein","",9734273,"DDA3937_RS13285",1605,534,"","none"
"5455","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3033385,3034173,"-","","",NA,"","phoH",9734274,"DDA3937_RS13290",789,NA,"Dda3937_03416","signal transduction mechanisms"
"5456","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3033385,3034173,"-","WP_013318474.1","WP_013318474.1",NA,"phosphate starvation-inducible protein PhoH","phoH",9734274,"DDA3937_RS13290",789,262,"","none"
"5457","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3034705,3035217,"-","","",NA,"","fliZ",9734275,"DDA3937_RS13295",513,NA,"Dda3937_03417","none"
"5458","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3034705,3035217,"-","WP_013318475.1","WP_013318475.1",NA,"flagella biosynthesis regulatory protein FliZ","fliZ",9734275,"DDA3937_RS13295",513,170,"","none"
"5459","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3035272,3035994,"-","","",NA,"","",9734276,"DDA3937_RS13300",723,NA,"Dda3937_03418","transcription"
"5460","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3035272,3035994,"-","WP_013318476.1","WP_013318476.1",NA,"RNA polymerase sigma factor FliA","",9734276,"DDA3937_RS13300",723,240,"","none"
"5461","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3036374,3037801,"-","","",NA,"","",9734277,"DDA3937_RS13305",1428,NA,"Dda3937_03419","none"
"5462","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3036374,3037801,"-","WP_033111935.1","WP_033111935.1",NA,"hypothetical protein","",9734277,"DDA3937_RS13305",1428,475,"","none"
"5463","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3037905,3038990,"-","","",NA,"","",9734278,"DDA3937_RS13310",1086,NA,"Dda3937_03420","none"
"5464","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3037905,3038990,"-","WP_033111936.1","WP_033111936.1",NA,"FkbM family methyltransferase","",9734278,"DDA3937_RS13310",1086,361,"","none"
"5465","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3039182,3040315,"-","","",NA,"","",9734279,"DDA3937_RS13315",1134,NA,"Dda3937_03421","general function prediction only"
"5466","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3039182,3040315,"-","WP_013318479.1","WP_013318479.1",NA,"Gfo/Idh/MocA family oxidoreductase","",9734279,"DDA3937_RS13315",1134,377,"","none"
"5467","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3040312,3041493,"-","","",NA,"","",9734280,"DDA3937_RS13320",1182,NA,"Dda3937_03422","nucleotide transport and metabolism"
"5468","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3040312,3041493,"-","WP_050570333.1","WP_050570333.1",NA,"ATP-grasp domain-containing protein","",9734280,"DDA3937_RS13320",1182,393,"","none"
"5469","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3041580,3042749,"-","","",NA,"","",9734281,"DDA3937_RS13325",1170,NA,"Dda3937_03423","cell wall/membrane/envelope biogenesis"
"5470","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3041580,3042749,"-","WP_071604541.1","WP_071604541.1",NA,"DegT/DnrJ/EryC1/StrS family aminotransferase","",9734281,"DDA3937_RS13325",1170,389,"","none"
"5471","gene","pseudogene","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3042833,3046278,"-","","",NA,"","",23677497,"DDA3937_RS13330",3446,NA,"Dda3937_03424","none"
"5472","CDS","without_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3042833,3046278,"-","","",NA,"methyltransferase regulatory domain-containing protein","",23677497,"DDA3937_RS13330",3446,NA,"pseudo","none"
"5473","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3046557,3047015,"-","","",NA,"","tnpA",9734283,"DDA3937_RS13335",459,NA,"Dda3937_03425","mobilome: prophages, transposons"
"5474","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3046557,3047015,"-","WP_013318482.1","WP_013318482.1",NA,"IS200/IS605 family transposase","tnpA",9734283,"DDA3937_RS13335",459,152,"","none"
"5475","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3047223,3048068,"-","","",NA,"","",9734285,"DDA3937_RS13340",846,NA,"Dda3937_03427","cell motility"
"5476","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3047223,3048068,"-","WP_193345742.1","WP_193345742.1",NA,"flagellin FliC","",9734285,"DDA3937_RS13340",846,281,"","none"
"5477","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3048711,3050165,"+","","",NA,"","fliD",9734286,"DDA3937_RS13345",1455,NA,"Dda3937_02230","cell motility"
"5478","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3048711,3050165,"+","WP_013318484.1","WP_013318484.1",NA,"flagellar filament capping protein FliD","fliD",9734286,"DDA3937_RS13345",1455,484,"","none"
"5479","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3050269,3050679,"+","","",NA,"","fliS",9734287,"DDA3937_RS13350",411,NA,"Dda3937_02229","intracellular trafficking, secretion, and vesicular transport"
"5480","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3050269,3050679,"+","WP_013318485.1","WP_013318485.1",NA,"flagellar export chaperone FliS","fliS",9734287,"DDA3937_RS13350",411,136,"","none"
"5481","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3050679,3051041,"+","","",NA,"","fliT",9734288,"DDA3937_RS13355",363,NA,"Dda3937_02228","none"
"5482","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3050679,3051041,"+","WP_013318486.1","WP_013318486.1",NA,"flagellar protein FliT","fliT",9734288,"DDA3937_RS13355",363,120,"","none"
"5483","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3051224,3051538,"-","","",NA,"","fliE",9734289,"DDA3937_RS13360",315,NA,"Dda3937_02227","cell motility"
"5484","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3051224,3051538,"-","WP_013318487.1","WP_013318487.1",NA,"flagellar hook-basal body complex protein FliE","fliE",9734289,"DDA3937_RS13360",315,104,"","none"
"5485","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3051871,3053592,"+","","",NA,"","fliF",9734290,"DDA3937_RS13365",1722,NA,"Dda3937_02226","intracellular trafficking, secretion, and vesicular transport"
"5486","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3051871,3053592,"+","WP_013318488.1","WP_013318488.1",NA,"flagellar M-ring protein FliF","fliF",9734290,"DDA3937_RS13365",1722,573,"","none"
"5487","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3053589,3054581,"+","","",NA,"","fliG",9734291,"DDA3937_RS13370",993,NA,"Dda3937_02225","cell motility"
"5488","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3053589,3054581,"+","WP_013318489.1","WP_013318489.1",NA,"flagellar motor switch protein FliG","fliG",9734291,"DDA3937_RS13370",993,330,"","none"
"5489","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3054565,3055311,"+","","",NA,"","fliH",9734292,"DDA3937_RS13375",747,NA,"Dda3937_02224","intracellular trafficking, secretion, and vesicular transport"
"5490","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3054565,3055311,"+","WP_033112347.1","WP_033112347.1",NA,"flagellar assembly protein FliH","fliH",9734292,"DDA3937_RS13375",747,248,"","none"
"5491","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3055311,3056681,"+","","",NA,"","fliI",9734293,"DDA3937_RS13380",1371,NA,"Dda3937_02223","intracellular trafficking, secretion, and vesicular transport"
"5492","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3055311,3056681,"+","WP_013318491.1","WP_013318491.1",NA,"flagellum-specific ATP synthase FliI","fliI",9734293,"DDA3937_RS13380",1371,456,"","none"
"5493","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3056690,3057130,"+","","",NA,"","fliJ",9734294,"DDA3937_RS13385",441,NA,"Dda3937_02222","cell motility"
"5494","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3056690,3057130,"+","WP_013318492.1","WP_013318492.1",NA,"flagella biosynthesis chaperone FliJ","fliJ",9734294,"DDA3937_RS13385",441,146,"","none"
"5495","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3057133,3058458,"+","","",NA,"","",9734295,"DDA3937_RS13390",1326,NA,"Dda3937_02221","cell motility"
"5496","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3057133,3058458,"+","WP_013318493.1","WP_013318493.1",NA,"flagellar hook-length control protein FliK","",9734295,"DDA3937_RS13390",1326,441,"","none"
"5497","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3058592,3059080,"+","","",NA,"","fliL",9734296,"DDA3937_RS13395",489,NA,"Dda3937_02220","cell motility"
"5498","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3058592,3059080,"+","WP_013318494.1","WP_013318494.1",NA,"flagellar basal body-associated protein FliL","fliL",9734296,"DDA3937_RS13395",489,162,"","none"
"5499","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3059086,3060102,"+","","",NA,"","fliM",9734297,"DDA3937_RS13400",1017,NA,"Dda3937_02219","cell motility"
"5500","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3059086,3060102,"+","WP_013318495.1","WP_013318495.1",NA,"flagellar motor switch protein FliM","fliM",9734297,"DDA3937_RS13400",1017,338,"","none"
"5501","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3060095,3060511,"+","","",NA,"","fliN",9734298,"DDA3937_RS13405",417,NA,"Dda3937_02218","intracellular trafficking, secretion, and vesicular transport"
"5502","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3060095,3060511,"+","WP_013318496.1","WP_013318496.1",NA,"flagellar motor switch protein FliN","fliN",9734298,"DDA3937_RS13405",417,138,"","none"
"5503","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3060511,3060927,"+","","",NA,"","fliO",9734299,"DDA3937_RS13410",417,NA,"Dda3937_02217","cell motility"
"5504","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3060511,3060927,"+","WP_013318497.1","WP_013318497.1",NA,"flagellar biosynthetic protein FliO","fliO",9734299,"DDA3937_RS13410",417,138,"","none"
"5505","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3060963,3061700,"+","","",NA,"","fliP",9734300,"DDA3937_RS13415",738,NA,"Dda3937_02216","cell motility"
"5506","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3060963,3061700,"+","WP_171851016.1","WP_171851016.1",NA,"flagellar type III secretion system pore protein FliP","fliP",9734300,"DDA3937_RS13415",738,245,"","none"
"5507","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3061744,3062013,"+","","",NA,"","fliQ",9734301,"DDA3937_RS13420",270,NA,"Dda3937_02215","cell motility"
"5508","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3061744,3062013,"+","WP_013318499.1","WP_013318499.1",NA,"flagellar biosynthesis protein FliQ","fliQ",9734301,"DDA3937_RS13420",270,89,"","none"
"5509","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3062016,3062798,"+","","",NA,"","fliR",9734302,"DDA3937_RS13425",783,NA,"Dda3937_02214","cell motility"
"5510","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3062016,3062798,"+","WP_013318500.1","WP_013318500.1",NA,"flagellar type III secretion system protein FliR","fliR",9734302,"DDA3937_RS13425",783,260,"","none"
"5511","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3062975,3063904,"-","","",NA,"","flgL",9734303,"DDA3937_RS13430",930,NA,"Dda3937_02213","cell motility"
"5512","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3062975,3063904,"-","WP_013318501.1","WP_013318501.1",NA,"flagellar hook-associated protein FlgL","flgL",9734303,"DDA3937_RS13430",930,309,"","none"
"5513","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3063937,3065859,"-","","",NA,"","flgK",9734304,"DDA3937_RS13435",1923,NA,"Dda3937_02212","cell motility"
"5514","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3063937,3065859,"-","WP_013318502.1","WP_013318502.1",NA,"flagellar hook-associated protein FlgK","flgK",9734304,"DDA3937_RS13435",1923,640,"","none"
"5515","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3065986,3066936,"-","","",NA,"","flgJ",9734305,"DDA3937_RS13440",951,NA,"Dda3937_02211","cell wall/membrane/envelope biogenesis"
"5516","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3065986,3066936,"-","WP_013318503.1","WP_013318503.1",NA,"flagellar assembly peptidoglycan hydrolase FlgJ","flgJ",9734305,"DDA3937_RS13440",951,316,"","none"
"5517","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3066936,3068045,"-","","",NA,"","",9734306,"DDA3937_RS13445",1110,NA,"Dda3937_02210","cell motility"
"5518","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3066936,3068045,"-","WP_013318504.1","WP_013318504.1",NA,"flagellar basal body P-ring protein FlgI","",9734306,"DDA3937_RS13445",1110,369,"","none"
"5519","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3068062,3068778,"-","","",NA,"","flgH",9734307,"DDA3937_RS13450",717,NA,"Dda3937_02209","cell motility"
"5520","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3068062,3068778,"-","WP_033112348.1","WP_033112348.1",NA,"flagellar basal body L-ring protein FlgH","flgH",9734307,"DDA3937_RS13450",717,238,"","none"
"5521","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3068912,3069694,"-","","",NA,"","flgG",9734308,"DDA3937_RS13455",783,NA,"Dda3937_02208","cell motility"
"5522","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3068912,3069694,"-","WP_013318506.1","WP_013318506.1",NA,"flagellar basal-body rod protein FlgG","flgG",9734308,"DDA3937_RS13455",783,260,"","none"
"5523","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3069721,3070476,"-","","",NA,"","",9734309,"DDA3937_RS13460",756,NA,"Dda3937_02207","cell motility"
"5524","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3069721,3070476,"-","WP_013318507.1","WP_013318507.1",NA,"flagellar basal body rod protein FlgF","",9734309,"DDA3937_RS13460",756,251,"","none"
"5525","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3070498,3071697,"-","","",NA,"","flgE",9734310,"DDA3937_RS13465",1200,NA,"Dda3937_02206","cell motility"
"5526","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3070498,3071697,"-","WP_013318508.1","WP_013318508.1",NA,"flagellar hook protein FlgE","flgE",9734310,"DDA3937_RS13465",1200,399,"","none"
"5527","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3071764,3072435,"-","","",NA,"","flgD",9734311,"DDA3937_RS13470",672,NA,"Dda3937_02205","cell motility"
"5528","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3071764,3072435,"-","WP_013318509.1","WP_013318509.1",NA,"flagellar hook assembly protein FlgD","flgD",9734311,"DDA3937_RS13470",672,223,"","none"
"5529","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3072448,3072852,"-","","",NA,"","flgC",9734312,"DDA3937_RS13475",405,NA,"Dda3937_04345","cell motility"
"5530","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3072448,3072852,"-","WP_012769280.1","WP_012769280.1",NA,"flagellar basal body rod protein FlgC","flgC",9734312,"DDA3937_RS13475",405,134,"","none"
"5531","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3072886,3073305,"-","","",NA,"","flgB",9734313,"DDA3937_RS13480",420,NA,"Dda3937_02204","cell motility"
"5532","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3072886,3073305,"-","WP_013318510.1","WP_013318510.1",NA,"flagellar basal body rod protein FlgB","flgB",9734313,"DDA3937_RS13480",420,139,"","none"
"5533","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3073472,3074140,"+","","",NA,"","flgA",9734314,"DDA3937_RS13485",669,NA,"Dda3937_02203","cell motility"
"5534","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3073472,3074140,"+","WP_033111937.1","WP_033111937.1",NA,"flagellar basal body P-ring formation protein FlgA","flgA",9734314,"DDA3937_RS13485",669,222,"","none"
"5535","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3074285,3074584,"+","","",NA,"","flgM",9734315,"DDA3937_RS13490",300,NA,"Dda3937_02202","transcription"
"5536","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3074285,3074584,"+","WP_013318512.1","WP_013318512.1",NA,"anti-sigma-28 factor FlgM","flgM",9734315,"DDA3937_RS13490",300,99,"","none"
"5537","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3074589,3075026,"+","","",NA,"","flgN",9734316,"DDA3937_RS13495",438,NA,"Dda3937_04632","intracellular trafficking, secretion, and vesicular transport"
"5538","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3074589,3075026,"+","WP_013318513.1","WP_013318513.1",NA,"flagellar export chaperone FlgN","flgN",9734316,"DDA3937_RS13495",438,145,"","none"
"5539","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3075097,3075519,"-","","",NA,"","",9734317,"DDA3937_RS13500",423,NA,"Dda3937_03966","none"
"5540","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3075097,3075519,"-","WP_013318514.1","WP_013318514.1",NA,"flagellar protein FlhE","",9734317,"DDA3937_RS13500",423,140,"","none"
"5541","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3075519,3077606,"-","","",NA,"","flhA",9734318,"DDA3937_RS13505",2088,NA,"Dda3937_03965","cell motility"
"5542","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3075519,3077606,"-","WP_013318515.1","WP_013318515.1",NA,"flagellar biosynthesis protein FlhA","flhA",9734318,"DDA3937_RS13505",2088,695,"","none"
"5543","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3077599,3078750,"-","","",NA,"","flhB",9734319,"DDA3937_RS13510",1152,NA,"Dda3937_02774","cell motility"
"5544","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3077599,3078750,"-","WP_013318516.1","WP_013318516.1",NA,"flagellar type III secretion system protein FlhB","flhB",9734319,"DDA3937_RS13510",1152,383,"","none"
"5545","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3078977,3079621,"-","","",NA,"","cheZ",9734321,"DDA3937_RS13515",645,NA,"Dda3937_02775","signal transduction mechanisms"
"5546","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3078977,3079621,"-","WP_013318518.1","WP_013318518.1",NA,"protein phosphatase CheZ","cheZ",9734321,"DDA3937_RS13515",645,214,"","none"
"5547","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3079631,3080020,"-","","",NA,"","cheY",9734322,"DDA3937_RS13520",390,NA,"Dda3937_02776","none"
"5548","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3079631,3080020,"-","WP_013318519.1","WP_013318519.1",NA,"chemotaxis response regulator CheY","cheY",9734322,"DDA3937_RS13520",390,129,"","none"
"5549","gene","protein_coding","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3080055,3081107,"-","","",NA,"","",9734323,"DDA3937_RS13525",1053,NA,"Dda3937_02777","signal transduction mechanisms"
"5550","CDS","with_protein","GCF_000147055.1","Primary Assembly","chromosome",NA,"NC_014500.1",3080055,3081107,"-","WP_013318520.1","WP_013318520.1",NA,"chemotaxis response regulator protein-glutamate methylesterase","",9734323,"DDA3937_RS13525",1053,350,"","none"
