	Dickeya_dadantii_3937	Dickeya_dianthicola_67_19	Dickeya_dianthicola_ME23	Pectobacterium_carotovorum_WPP14
group_01700	WP_033112133.1	WP_192989692.1	WP_024109299.1	WP_010294665.1
group_01701	WP_013317049.1	WP_192990725.1	WP_024108510.1	WP_010302734.1
group_01702	WP_013316036.1	WP_192990051.1	WP_024104265.1	WP_010296708.1
group_01703	WP_013319074.1	WP_192989193.1	WP_024106949.1	WP_010306162.1
group_01704	WP_033112157.1	WP_192989891.1	WP_024107837.1	WP_010296572.1
group_01705	WP_071819886.1	WP_192988915.1	WP_024106570.1	WP_010295329.1
group_01706	WP_013318793.1	WP_192988988.1	WP_024106671.1	WP_010303090.1
group_01707	WP_013316747.1	WP_103415846.1	WP_103415846.1	WP_010296394.1
group_01708	WP_013317798.1	WP_024105808.1	WP_024105808.1	WP_010275900.1
group_01709	WP_013317600.1	WP_024105609.1	WP_024108690.1	WP_161502547.1
group_01710	WP_013319006.1	WP_192989153.1	WP_024106891.1	WP_010280459.1
group_01711	WP_042318695.1	WP_161142940.1	WP_024109383.1	WP_010308584.1
group_01712	WP_042318410.1	WP_192988721.1	WP_046830407.1	WP_010306264.1
group_01713	WP_013319765.1	WP_024107579.1	WP_024107579.1	WP_010305981.1
group_01714	WP_013319067.1	WP_192989188.1	WP_024106942.1	WP_010309440.1
group_01715	WP_033112030.1	WP_192989265.1	WP_024107045.1	WP_010308544.1
group_01716	WP_033111526.1	WP_192990017.1	WP_024108095.1	WP_010300242.1
group_01717	WP_013319298.1	WP_192991547.1	WP_024107138.1	WP_010294960.1
group_01718	WP_013318361.1	WP_119875326.1	WP_024106316.1	WP_005970394.1
group_01719	WP_013318500.1	WP_024106474.1	WP_024106474.1	WP_010301679.1
group_01720	WP_013319210.1	WP_024107059.1	WP_024107059.1	WP_010305388.1
group_01721	WP_013319572.1	WP_024107374.1	WP_024109223.1	WP_010295427.1
group_01722	WP_013317529.1	WP_192991044.1	WP_024105556.1	WP_010294862.1
group_01723	WP_013319443.1	WP_038665766.1	WP_024107255.1	WP_010306328.1
group_01724	WP_033112007.1	WP_192989159.1	WP_024106899.1	WP_010302514.1
group_01725	WP_013319834.1	WP_192989665.1	WP_024107634.1	WP_010294572.1
group_01726	WP_013319909.1	WP_192989966.1	WP_024107707.1	WP_010283777.1
group_01727	WP_013319904.1	WP_192989973.1	WP_103415771.1	WP_029367985.1
group_01728	WP_013316640.1	WP_192990469.1	WP_024104777.1	WP_010305906.1
group_01729	WP_013319494.1	WP_192989444.1	WP_024107305.1	WP_039278243.1
group_01730	WP_012768295.1	WP_024107347.1	WP_024107347.1	WP_010300511.1
group_01731	WP_013316201.1	WP_192990169.1	WP_024104430.1	WP_010303066.1
group_01732	WP_013315799.1	WP_024108059.1	WP_024108059.1	WP_010296862.1
group_01733	WP_013319838.1	WP_192989667.1	WP_024107638.1	WP_010294602.1
group_01734	WP_013316367.1	WP_024104640.1	WP_024104640.1	WP_010301834.1
group_01735	WP_013319228.1	WP_192989283.1	WP_024107075.1	WP_010299848.1
group_01736	WP_013317734.1	WP_192991165.1	WP_024105724.1	WP_039472703.1
group_01737	WP_013319908.1	WP_192989967.1	WP_024107706.1	WP_010298623.1
group_01738	WP_013319076.1	WP_024106951.1	WP_024106951.1	WP_010306171.1
group_01739	WP_013319124.1	WP_024109130.1	WP_024106986.1	WP_010306189.1
group_01740	WP_171851016.1	WP_192988826.1	WP_024106472.1	WP_172645005.1
group_01741	WP_013318507.1	WP_192988831.1	WP_024106481.1	WP_010301656.1
group_01742	WP_013319805.1	WP_192989647.1	WP_024109284.1	WP_010294510.1
group_01743	WP_013316976.1	WP_024105082.1	WP_024105082.1	WP_010285409.1
group_01744	WP_013320133.1	WP_024107905.1	WP_024107905.1	WP_010308605.1
group_01745	WP_013319840.1	WP_161132511.1	WP_024107640.1	WP_010294606.1
group_01746	WP_013319020.1	WP_192989161.1	WP_024106902.1	WP_010302518.1
group_01747	WP_013317687.1	WP_192991132.1	WP_024105681.1	WP_010306421.1
group_01748	WP_033112166.1	WP_192989851.1	WP_024107887.1	WP_161502046.1
group_01749	WP_013320095.1	WP_192989864.1	WP_024109369.1	WP_010296507.1
group_01750	WP_013316790.1	WP_024104921.1	WP_024104921.1	WP_010298465.1
group_01751	WP_013318035.1	WP_024106010.1	WP_024106010.1	WP_010295265.1
group_01752	WP_013317726.1	WP_171851437.1	WP_024105716.1	WP_010301046.1
group_01753	WP_033111540.1	WP_192990056.1	WP_024104273.1	WP_010297420.1
group_01754	WP_013319191.1	WP_192989264.1	WP_024107044.1	WP_010308548.1
group_01755	WP_013316752.1	WP_161132144.1	WP_024104877.1	WP_010296404.1
group_01756	WP_013319181.1	WP_161132002.1	WP_024107034.1	WP_010306965.1
group_01757	WP_013318874.1	WP_192989063.1	WP_024106738.1	WP_180890144.1
group_01758	WP_013319168.1	WP_192989244.1	WP_024107022.1	WP_014916404.1
group_01759	WP_013319303.1	WP_192989331.1	WP_024107142.1	WP_010294986.1
group_01760	WP_013317220.1	WP_192991429.1	WP_024105241.1	WP_010298365.1
group_01761	WP_013317803.1	WP_192991213.1	WP_024105813.1	WP_180889986.1
group_01762	WP_013319896.1	WP_192989979.1	WP_024107694.1	WP_010298656.1
group_01763	WP_013319312.1	WP_192989337.1	WP_024109179.1	WP_010294998.1
group_01764	WP_013317688.1	WP_192991133.1	WP_162928378.1	WP_039472656.1
group_01765	WP_005969424.1	WP_005969424.1	WP_005969424.1	WP_005969424.1
group_01766	WP_013316945.1	WP_024105058.1	WP_024105058.1	WP_010301568.1
group_01767	WP_033112331.1	WP_024109950.1	WP_024106139.1	WP_010300883.1
group_01768	WP_013317605.1	WP_161132742.1	WP_024108692.1	WP_010294811.1
group_01769	WP_013317012.1	WP_192990705.1	WP_024105115.1	WP_010299171.1
group_01770	WP_013316337.1	WP_192990291.1	WP_024108213.1	WP_010300039.1
group_01771	WP_013317527.1	WP_161132218.1	WP_024105554.1	WP_010294867.1
group_01772	WP_013316266.1	WP_192990213.1	WP_024104493.1	WP_010298844.1
group_01773	WP_013316007.1	WP_022631820.1	WP_022631820.1	WP_010296638.1
group_01774	WP_013319221.1	WP_161131695.1	WP_024107069.1	WP_010299815.1
group_01775	WP_013318400.1	WP_192988772.1	WP_024106349.1	WP_029367849.1
group_01776	WP_013316974.1	WP_192990678.1	WP_024105080.1	WP_039472507.1
group_01777	WP_013316750.1	WP_192990544.1	WP_026594670.1	WP_010284816.1
group_01778	WP_042318206.1	WP_192990667.1	WP_026594686.1	WP_029368027.1
group_01779	WP_013319005.1	WP_192989152.1	WP_024106890.1	WP_010302493.1
group_01780	WP_042318249.1	WP_192991431.1	WP_024105273.1	WP_010298437.1
group_01781	WP_013319711.1	WP_024107528.1	WP_024107528.1	WP_010296984.1
group_01782	WP_013320130.1	WP_192989839.1	WP_024107902.1	WP_010308581.1
group_01783	WP_033111699.1	WP_024105051.1	WP_024105051.1	WP_005976214.1
group_01784	WP_033112348.1	WP_192991510.1	WP_026594772.1	WP_010301661.1
group_01785	WP_013315888.1	WP_192989713.1	WP_024104147.1	WP_010281538.1
group_01786	WP_013319849.1	WP_192989671.1	WP_024107647.1	WP_010294624.1
group_01787	WP_013318244.1	WP_192988682.1	WP_024106216.1	WP_010310069.1
group_01788	WP_013318057.1	WP_024106030.1	WP_024110016.1	WP_010299942.1
group_01789	WP_033112130.1	WP_024110296.1	WP_024107652.1	WP_010294633.1
group_01790	WP_013316860.1	WP_192990622.1	WP_024104984.1	WP_010304566.1
group_01791	WP_013319571.1	WP_192989490.1	WP_024107373.1	WP_010295426.1
group_01792	WP_013317673.1	WP_192991123.1	WP_024105667.1	WP_010306645.1
group_01793	WP_013318307.1	WP_192991494.1	WP_024106270.1	WP_010306270.1
group_01794	WP_012770778.1	WP_012770778.1	WP_012770778.1	WP_005975981.1
group_01795	WP_013317034.1	WP_192990719.1	WP_024105138.1	WP_103941610.1
group_01796	WP_013315946.1	WP_024104193.1	WP_026594607.1	WP_010301765.1
group_01797	WP_013319292.1	WP_192989326.1	WP_024107133.1	WP_010294953.1
group_01798	WP_013317177.1	WP_192990933.1	WP_024105463.1	WP_029368761.1
group_01799	WP_013317709.1	WP_024105699.1	WP_024105699.1	WP_010295057.1
group_01800	WP_012885398.1	WP_024106597.1	WP_024106597.1	WP_005969846.1
group_01801	WP_013318046.1	WP_192988550.1	WP_024106020.1	WP_010299921.1
group_01802	WP_013317342.1	WP_192990879.1	WP_024105391.1	WP_010308938.1
group_01803	WP_013316948.1	WP_192990661.1	WP_024105061.1	WP_010301621.1
group_01804	WP_013319892.1	WP_024109308.1	WP_024109308.1	WP_010298665.1
group_01805	WP_013319941.1	WP_024109318.1	WP_024109318.1	WP_010300728.1
group_01806	WP_013319751.1	WP_192989609.1	WP_024107566.1	WP_010297110.1
group_01807	WP_033112318.1	WP_192991470.1	WP_081634336.1	WP_010295991.1
group_01808	WP_013317759.1	WP_024105750.1	WP_103415936.1	WP_010309617.1
group_01809	WP_013320129.1	WP_192989840.1	WP_024107901.1	WP_010302446.1
group_01810	WP_013319243.1	WP_024107088.1	WP_024107088.1	WP_010309072.1
group_01811	WP_013318728.1	WP_192988944.1	WP_024106615.1	WP_010298523.1
group_01812	WP_013318182.1	WP_161132896.1	WP_024108833.1	WP_010308800.1
group_01813	WP_013319559.1	WP_192989483.1	WP_024107361.1	WP_029368263.1
group_01814	WP_013318476.1	WP_024106451.1	WP_024106451.1	WP_014915881.1
group_01815	WP_013319828.1	WP_192989660.1	WP_024107628.1	WP_010294553.1
group_01816	WP_013316716.1	WP_024104843.1	WP_024104843.1	WP_010282867.1
group_01817	WP_013316708.1	WP_161132160.1	WP_024104838.1	WP_010299683.1
group_01818	WP_013315948.1	WP_192990012.1	WP_024104196.1	WP_029368423.1
group_01819	WP_013315940.1	WP_192990007.1	WP_024108089.1	WP_010301746.1
group_01820	WP_033111920.1	WP_192991496.1	WP_026594763.1	WP_029368499.1
group_01821	WP_013318435.1	WP_024106381.1	WP_024106381.1	WP_010297224.1
group_01822	WP_013318326.1	WP_192988728.1	WP_024106290.1	WP_010302281.1
group_01823	WP_012768105.1	WP_161133056.1	WP_024107518.1	WP_005970274.1
group_01824	WP_033111701.1	WP_192990662.1	WP_024105063.1	WP_010309031.1
group_01825	WP_013316901.1	WP_024105017.1	WP_024105017.1	WP_010301277.1
group_01826	WP_013315868.1	WP_024104133.1	WP_024104133.1	WP_010308725.1
group_01827	WP_033112383.1	WP_192989046.1	WP_024106708.1	WP_010309278.1
group_01828	WP_033111704.1	WP_192991421.1	WP_024105104.1	WP_010309408.1
group_01829	WP_013320035.1	WP_192989899.1	WP_026594875.1	WP_010296579.1
group_01830	WP_013315743.1	WP_192989793.1	WP_024104028.1	WP_010298173.1
group_01831	WP_033112090.1	WP_192989453.1	WP_024107312.1	WP_010299747.1
group_01832	WP_013318410.1	WP_192988777.1	WP_024106357.1	WP_010297717.1
group_01833	WP_013318181.1	WP_024108832.1	WP_024108832.1	WP_010276906.1
group_01834	WP_013319752.1	WP_192989610.1	WP_024107567.1	WP_010297113.1
group_01835	WP_013318804.1	WP_192988994.1	WP_024106679.1	WP_119881691.1
group_01836	WP_013317516.1	WP_192991035.1	WP_024105543.1	WP_010297582.1
group_01837	WP_013319289.1	WP_192989324.1	WP_103415638.1	WP_010279034.1
group_01838	WP_033111712.1	WP_192990749.1	WP_024105191.1	WP_029367697.1
group_01839	WP_013319544.1	WP_192989477.1	WP_024107346.1	WP_010300509.1
group_01840	WP_013316613.1	WP_192990449.1	WP_024104753.1	WP_010301386.1
group_01841	WP_013317469.1	WP_192991015.1	WP_024105513.1	WP_010303320.1
group_01842	WP_013317686.1	WP_192991131.1	WP_024105680.1	WP_015839956.1
group_01843	WP_171849479.1	WP_192991546.1	WP_035045481.1	WP_010306468.1
group_01844	None	WP_192989938.1	WP_024108018.1;WP_024107751.1	WP_029367450.1
group_01845	WP_013319008.1	WP_192989155.1	WP_022634474.1	WP_010302498.1
group_01846	WP_013318861.1	WP_192989051.1	WP_024106715.1	WP_010277633.1
group_01847	WP_013318862.1	WP_192989052.1	WP_024106716.1	WP_010277628.1
group_01848	WP_013316217.1	WP_029729251.1	WP_024108160.1	WP_029368779.1
group_01849	WP_013316715.1	WP_192990527.1	WP_024104842.1	WP_010299690.1
group_01850	WP_013319713.1	WP_024110266.1	WP_024109259.1	WP_010296993.1
group_01851	WP_013316969.1	WP_192990673.1	WP_046830382.1	WP_010298770.1
group_01852	WP_013315840.1	WP_161132040.1	WP_024104103.1	WP_010306560.1
group_01853	WP_013318041.1	WP_192988546.1	WP_024106014.1	WP_010299909.1
group_01854	WP_013318729.1	WP_192988945.1	WP_024106616.1	WP_010298525.1
group_01855	WP_013318039.1	WP_024106012.1	WP_024106012.1	WP_010295272.1
group_01856	WP_013318396.1	WP_192988769.1	WP_024106345.1	WP_010307825.1
group_01857	WP_013316635.1	WP_192990464.1	WP_024104772.1	WP_010305889.1
group_01858	WP_013317010.1	WP_192990703.1	WP_024105113.1	WP_010299167.1
group_01859	WP_013317847.1	WP_192991241.1	WP_103415869.1	WP_010295245.1
group_01860	WP_033112249.1	WP_024105136.1	WP_024105136.1	WP_010309792.1
group_01861	WP_013318755.1	WP_192988961.1	WP_024106637.1	WP_010305804.1
group_01862	WP_033111999.1	WP_192989137.1	WP_024109093.1	WP_029368353.1
group_01863	WP_013317661.1	WP_192991117.1	WP_024105656.1	WP_010307331.1
group_01864	WP_013319032.1	WP_192989175.1	WP_024109111.1	WP_010299507.1
group_01865	WP_013318097.1	WP_024106069.1	WP_024106069.1	WP_010297914.1
group_01866	WP_013316274.1	WP_192990220.1	WP_024104501.1	WP_010298862.1
group_01867	WP_013317488.1	WP_161132209.1	WP_024105524.1	WP_010297658.1
group_01868	WP_013316110.1	WP_192990112.1	WP_103415799.1	WP_010308629.1
group_01869	WP_013315923.1	WP_192989994.1	WP_024104176.1	WP_010285494.1
group_01870	WP_013316875.1	WP_024104998.1	WP_024108460.1	WP_010303026.1
group_01871	WP_013319053.1	WP_024106930.1	WP_024109118.1	WP_010280785.1
group_01872	WP_013316680.1	WP_192989939.1	WP_024107748.1	WP_180890193.1
group_01873	WP_013317878.1	WP_192991262.1	WP_024105879.1	WP_010295201.1
group_01874	WP_013316061.1	WP_024104287.1	WP_024104287.1	WP_010297510.1
group_01875	WP_013317027.1	WP_024105130.1	WP_024105130.1	WP_029368101.1
group_01876	WP_013317337.1	WP_192990874.1	WP_024105386.1	WP_116155938.1
group_01877	WP_013317721.1	WP_192991155.1	WP_024105710.1	WP_010277170.1
group_01878	WP_013320040.1	WP_192989895.1	WP_024107832.1	WP_010304875.1
group_01879	WP_013317926.1	WP_192991296.1	WP_024105924.1	WP_010296067.1
group_01880	WP_013318071.1	WP_161131683.1	WP_024106046.1	WP_010299975.1
group_01881	WP_013316922.1	WP_161131533.1	WP_024108475.1	WP_116163051.1
group_01882	WP_033111484.1	WP_192989802.1	WP_072145053.1	WP_029367904.1
group_01883	WP_013316923.1	WP_161131532.1	WP_024107942.1	WP_010307452.1
group_01884	WP_013319490.1	WP_192991554.1	WP_026594849.1	WP_010299728.1
group_01885	WP_033112136.1	WP_024107728.1	WP_024107728.1	WP_039474579.1
group_01886	WP_013318715.1	WP_192988937.1	WP_024109018.1	WP_010295394.1
group_01887	WP_139348368.1	WP_192991542.1	WP_024107035.1	WP_029368898.1
group_01888	WP_013317900.1	WP_192991278.1	WP_024108763.1	WP_010295175.1
group_01889	WP_013316377.1	WP_192990311.1	WP_024108235.1	WP_010301855.1
group_01890	WP_013317052.1	WP_192990727.1	WP_024105152.1	WP_039473842.1
group_01891	WP_013319430.1	WP_192989411.1	WP_024109193.1	WP_010300396.1
group_01892	WP_013317322.1	WP_192990863.1	WP_103415748.1	WP_010296735.1
group_01893	WP_013316028.1	WP_024104257.1	WP_024104257.1	WP_010296688.1
group_01894	WP_013315833.1	WP_192989741.1	WP_024104096.1	WP_010309389.1
group_01895	WP_013315838.1	WP_192989740.1	WP_024104101.1	WP_010306568.1
group_01896	WP_013319557.1	WP_192989482.1	WP_024107359.1	WP_010300543.1
group_01897	WP_013317899.1	WP_192991277.1	WP_024105899.1	WP_010295176.1
group_01898	WP_013318334.1	WP_192988731.1	WP_024106296.1	WP_010304886.1
group_01899	WP_013319278.1	WP_192989316.1	WP_024107119.1	WP_010305148.1
group_01900	WP_013318560.1	WP_192988864.1	WP_024106536.1	WP_010279369.1
group_01901	WP_013319547.1	WP_161143005.1	WP_024107350.1	WP_010300521.1
group_01902	WP_139348375.1	WP_161131634.1	WP_024109311.1	WP_010300796.1
group_01903	WP_013316886.1	WP_024109783.1	WP_024108464.1	WP_010303043.1
group_01904	WP_033112403.1	WP_162928392.1	WP_162928392.1	WP_029368747.1
group_01905	WP_193345742.1	WP_192988820.1	WP_024106458.1	WP_010279647.1
group_01906	WP_033111937.1	WP_192988834.1	WP_024106485.1	WP_010301650.1
group_01907	WP_013319175.1	WP_192989250.1	WP_024107028.1	WP_010306948.1
group_01908	WP_013317704.1	WP_192991143.1	WP_099327169.1	WP_010301097.1
group_01909	WP_013317889.1	WP_024105889.1	WP_024105889.1	WP_010295192.1
group_01910	WP_013316626.1	WP_192990455.1	WP_024104764.1	WP_010301415.1
group_01911	WP_013316934.1	WP_192990653.1	WP_024105048.1	WP_010307471.1
group_01912	WP_013320029.1	WP_192989904.1	WP_103415818.1	WP_010284182.1
group_01913	WP_012768072.1	WP_012768072.1	WP_012768072.1	WP_004090925.1
group_01914	WP_013317062.1	WP_024105165.1	WP_024105165.1	WP_010296746.1
group_01915	WP_071819880.1	WP_192988575.1	WP_026594781.1	WP_049776250.1
group_01916	WP_013316035.1	WP_192990050.1	WP_024108104.1	WP_039470356.1
group_01917	WP_033111882.1	WP_192988595.1	WP_024106105.1	WP_010302229.1
group_01918	WP_013319013.1	WP_192989157.1	WP_024106897.1	WP_010302508.1
group_01919	WP_013317461.1	WP_024105506.1	WP_035045277.1	WP_010303349.1
group_01920	WP_013320163.1	WP_192989813.1	WP_024107940.1	WP_010300096.1
group_01921	WP_013318472.1	WP_192988811.1	WP_024106407.1	WP_010309836.1
group_01922	WP_013316819.1	WP_024104945.1	WP_024104945.1	WP_010299049.1
group_01923	WP_013316975.1	WP_024105081.1	WP_024105081.1	WP_010298783.1
group_01924	WP_013319980.1	WP_192989926.1	WP_024107775.1	WP_010300609.1
group_01925	WP_013317778.1	WP_192991197.1	WP_024108738.1	WP_010306807.1
group_01926	WP_042318434.1	WP_024106609.1	WP_024106609.1	WP_010295408.1
group_01927	WP_013318903.1	WP_192989081.1	WP_024106763.1	WP_010305607.1
group_01928	WP_013317656.1	WP_192991114.1	WP_046830396.1	WP_010294723.1
group_01929	WP_013317813.1	WP_012884856.1	WP_012884856.1	WP_010275853.1
group_01930	WP_013316908.1	WP_024105024.1	WP_024105024.1	WP_005976164.1
group_01931	WP_013316820.1	WP_192990600.1	WP_024104946.1	WP_010299053.1
group_01932	WP_013319940.1	WP_192989952.1	WP_024107732.1	WP_010300733.1
group_01933	WP_013317992.1	WP_192991342.1	WP_103415881.1	WP_029368657.1
group_01934	WP_013318317.1	WP_024109971.1	WP_024106280.1	WP_010276635.1
group_01935	WP_013315958.1	WP_024104203.1	WP_024108094.1	WP_010300238.1
group_01936	WP_013316854.1	WP_024104979.1	WP_024104979.1	WP_010304179.1
group_01937	WP_013316016.1	WP_192990041.1	WP_024104250.1	WP_010296658.1
group_01938	WP_013316359.1	WP_192990303.1	WP_024104633.1	WP_010301806.1
group_01939	WP_013318898.1	WP_192989078.1	WP_024106758.1	WP_010305616.1
group_01940	WP_013316314.1	WP_161143017.1	WP_024104586.1	WP_005971510.1
group_01941	WP_013317781.1	WP_024105774.1	WP_024108740.1	WP_010306796.1
group_01942	WP_013319176.1	WP_192989251.1	WP_024107029.1	WP_010306952.1
group_01943	WP_013319183.1	WP_192989256.1	WP_024107036.1	WP_010306971.1
group_01944	WP_013317780.1	WP_029729466.1	WP_029729466.1	WP_010306801.1
group_01945	WP_013318189.1	WP_024106166.1	WP_024106166.1	WP_010276892.1
group_01946	WP_013318518.1	WP_024106491.1	WP_024106491.1	WP_010279523.1
group_01947	WP_013316847.1	WP_192990617.1	WP_024104971.1	WP_010299112.1
group_01948	WP_033111757.1	WP_192990875.1	WP_024105387.1	WP_010299357.1
group_01949	WP_013318431.1	WP_024106377.1	WP_024106377.1	WP_010297237.1
group_01950	WP_013319484.1	WP_192989436.1	WP_024107295.1	WP_010298069.1
group_01951	WP_013318135.1	WP_029729538.1	WP_029729538.1	WP_010302165.1
group_01952	WP_013318095.1	WP_024106067.1	WP_024106067.1	WP_010297907.1
group_01953	WP_013316130.1	WP_192990120.1	WP_024104369.1	WP_010300556.1
group_01954	WP_013316599.1	WP_192990440.1	WP_024104745.1	WP_010301365.1
group_01955	WP_013317863.1	WP_192991251.1	WP_024105867.1	WP_010307203.1
group_01956	WP_033112317.1	WP_192991279.1	WP_024105901.1	WP_010295173.1
group_01957	WP_013315835.1	WP_024104098.1	WP_024104098.1	WP_010306582.1
group_01958	WP_013319291.1	WP_024107132.1	WP_024107132.1	WP_010294949.1
group_01959	WP_013315728.1	WP_161132086.1	WP_024104009.1	WP_010298113.1
group_01960	WP_013317860.1	WP_024105866.1	WP_024105866.1	WP_015840216.1
group_01961	WP_033111874.1	WP_161131685.1	WP_024106048.1	WP_010297821.1
group_01962	WP_013319703.1	WP_024107521.1	WP_024107521.1	WP_010304941.1
group_01963	WP_013316054.1	WP_192990063.1	WP_024104280.1	WP_010297444.1
group_01964	WP_013316936.1	WP_192990655.1	WP_013316936.1	WP_010307474.1
group_01965	WP_013316884.1	WP_024108463.1	WP_024108463.1	WP_014914551.1
group_01966	WP_013317724.1	WP_192991157.1	WP_024105714.1	WP_010301051.1
group_01967	WP_013315746.1	WP_024104030.1	WP_024104030.1	WP_039474377.1
group_01968	WP_013318125.1	WP_161132702.1	WP_024106110.1	WP_010302196.1
group_01969	WP_013317528.1	WP_161132219.1	WP_024105555.1	WP_010294864.1
group_01970	WP_013315908.1	WP_192989701.1	WP_024104165.1	WP_010308157.1
group_01971	WP_013316051.1	WP_192990060.1	WP_024104278.1	WP_010297435.1
group_01972	WP_013319225.1	WP_192989281.1	WP_024107072.1	WP_010299824.1
group_01973	WP_013317880.1	WP_192991263.1	WP_024105880.1	WP_010295200.1
group_01974	WP_013316762.1	WP_192990549.1	WP_024104887.1	WP_010296427.1
group_01975	WP_013316048.1	WP_192991384.1	WP_024104275.1	WP_010297426.1
group_01976	WP_013317727.1	WP_192991158.1	WP_024105717.1	WP_010301044.1
group_01977	WP_013317854.1	WP_192991246.1	WP_024105860.1	WP_010295236.1
group_01978	WP_013316193.1	WP_192990166.1	WP_024108152.1	WP_010296287.1
group_01979	WP_013316478.1	WP_192990911.1	WP_024108643.1	WP_029368066.1
group_01980	WP_013318051.1	WP_192988554.1	WP_024108906.1	WP_010299932.1
group_01981	WP_013318314.1	WP_024106277.1	WP_024106277.1	WP_010302319.1
group_01982	WP_013316358.1	WP_192990302.1	WP_024104632.1	WP_010301802.1
group_01983	WP_013318893.1	WP_192989074.1	WP_024106753.1	WP_010305637.1
group_01984	WP_013316772.1	WP_192990554.1	WP_024104896.1	WP_010296446.1
group_01985	WP_013319692.1	WP_013319692.1	WP_013319692.1	WP_010286047.1
group_01986	WP_013316590.1	WP_024104739.1	WP_024104739.1	WP_010302025.1
group_01987	WP_033111518.1	WP_099327197.1	WP_099327197.1	WP_010299325.1
group_01988	WP_013317895.1	WP_192991274.1	WP_024105895.1	WP_010307991.1
group_01989	WP_013315947.1	WP_024104194.1	WP_024104194.1	WP_010301768.1
group_01990	WP_013316189.1	WP_192990162.1	WP_024104420.1	WP_029367593.1
group_01991	WP_013315737.1	WP_192989798.1	WP_024108052.1	WP_161503020.1
group_01992	WP_013317210.1	WP_192990949.1	WP_024108562.1	WP_010304748.1
group_01993	WP_013318713.1	WP_024106601.1	WP_024106601.1	WP_010295392.1
group_01994	WP_013319446.1	WP_024107259.1	WP_024107259.1	WP_010297945.1
group_01995	WP_013316264.1	WP_192990212.1	WP_024104491.1	WP_005971310.1
group_01996	WP_013319839.1	WP_161132512.1	WP_024107639.1	WP_010294604.1
group_01997	WP_013317063.1	WP_024105166.1	WP_024105166.1	WP_005974037.1
group_01998	WP_013318509.1	WP_192988833.1	WP_024106483.1	WP_010301652.1
group_01999	WP_013316764.1	WP_024104889.1	WP_024108432.1	WP_010296431.1
group_02000	WP_013318949.1	WP_192989121.1	WP_024106840.1	WP_010302828.1
group_02001	WP_013317998.1	WP_024105987.1	WP_024105987.1	WP_010274897.1
group_02002	WP_013317664.1	WP_161132433.1	WP_024108711.1	WP_010307323.1
group_02003	WP_013318759.1	WP_192988965.1	WP_024109029.1	WP_010285076.1
group_02004	WP_013316188.1	WP_192990161.1	WP_024104419.1	WP_010296270.1
group_02005	WP_013317891.1	WP_161132297.1	WP_024105891.1	WP_010295188.1
group_02006	WP_033112124.1	WP_192989655.1	WP_024107618.1	WP_010294528.1
group_02007	WP_013317685.1	WP_192991130.1	WP_024105679.1	WP_010277266.1
group_02008	WP_013319735.1	WP_024110269.1	WP_024107553.1	WP_010297049.1
group_02009	WP_033112111.1	WP_119875335.1	WP_024107546.1	WP_010297023.1
group_02010	WP_013319537.1	WP_192989472.1	WP_024107340.1	WP_010300484.1
group_02011	WP_013319813.1	WP_024110287.1	WP_024107617.1	WP_010294525.1
group_02012	WP_013319095.1	WP_192989202.1	WP_024106965.1	WP_010308368.1
group_02013	WP_013318527.1	WP_024106500.1	WP_024106500.1	WP_005970730.1
group_02014	WP_013318258.1	WP_192988692.1	WP_024106229.1	WP_010295909.1
group_02015	WP_161624729.1	WP_161132994.1	WP_026594823.1	WP_010309443.1
group_02016	WP_013319884.1	WP_192989989.1	WP_024109302.1	WP_010298671.1
group_02017	WP_033111682.1	WP_192990613.1	WP_024108449.1	WP_010299098.1
group_02018	WP_013318291.1	WP_192988710.1	WP_024106257.1	WP_010295838.1
group_02019	WP_013319778.1	WP_024107590.1	WP_024107590.1	WP_010299411.1
group_02020	WP_013318813.1	WP_192989000.1	WP_024106687.1	WP_010300155.1
group_02021	WP_033112154.1	WP_192989912.1	WP_024107812.1	WP_010300597.1
group_02022	WP_033111835.1	WP_192991205.1	WP_103415943.1	WP_010306776.1
group_02023	WP_171849361.1	WP_024105055.1	WP_024105055.1	WP_010286503.1
group_02024	WP_013315982.1	WP_161132476.1	WP_024104219.1	WP_180890074.1
group_02025	WP_013319170.1	WP_024107024.1	WP_024107024.1	WP_005975726.1
group_02026	WP_013318449.1	WP_192988803.1	WP_024106394.1	WP_161503050.1
group_02027	WP_013316285.1	WP_192990229.1	WP_024104512.1	WP_010307039.1
group_02028	WP_013319231.1	WP_192991544.1	WP_024107078.1	WP_010299858.1
group_02029	WP_013317886.1	WP_192991268.1	WP_103415871.1	WP_010275261.1
group_02030	WP_013318421.1	WP_024106368.1	WP_024106368.1	WP_010297273.1
group_02031	WP_013319453.1	WP_192989419.1	WP_024107267.1	WP_180890096.1
group_02032	WP_033112112.1	WP_192989591.1	WP_024107549.1	WP_010297030.1
group_02033	WP_013317614.1	WP_192991092.1	WP_024105622.1	WP_010277383.1
group_02034	WP_013320051.1	WP_192989890.1	WP_024107838.1	WP_010296571.1
group_02035	WP_013316723.1	WP_192990532.1	WP_103415843.1	WP_010299707.1
group_02036	WP_013316039.1	WP_013316039.1	WP_013316039.1	WP_005975525.1
group_02037	WP_013319361.1	WP_024107192.1	WP_024107192.1	WP_010295088.1
group_02038	WP_013319660.1	WP_024107482.1	WP_024107482.1	WP_010295533.1
